Created - 11:01:25.421234: Large marble: Big Joe, marbles: Royal Orange, Blue-Green, Middle Green, Gold, Maximum Blue, Cobalt Blue, Mulberry
Created - 11:01:25.495560: Large marble: 5-Star, marbles: Lumber, Fiery Rose, Brink Pink, Candy Pink, Pale Taupe, Silver Chalice, Orange Soda
Created - 11:01:25.570816: Large marble: Spinner, marbles: Orange Soda, Antique Bronze, Icterine, Mode Beige, Bistre Brown, Neon Silver, Mint Green
Created - 11:01:25.646061: Large marble: Zeus, marbles: Rose Dust, Beaver, Almond, Middle Green, Light Orange, Chinese Red, Venetian Red
Created - 11:01:25.720878: Large marble: Spinner, marbles: Mimi Pink, Beaver, Sage, Mint Green, Spanish Pink, La Salle Green, Chinese Red
Created - 11:01:25.796003: Large marble: Apollo, marbles: Spanish Pink, White Smoke, Tuscan Brown, Pale Cerulean, Neon Silver, Neon Dark Green, Blue Bell
Created - 11:01:25.871240: Large marble: Lucky, marbles: Stop Red, Purple, Rose Quartz, Mango Tango, Dark Moss Green, Light Orange, Ruby
Created - 11:01:25.945896: Large marble: Spinner, marbles: Slate Blue, Middle Green, Silver Pink, Mimi Pink, Orange Peel, Safety Yellow, Mulberry
Created - 11:01:26.021340: Large marble: Apollo, marbles: Pale Cerulean, Thulian Pink, Pastel Gray, Pale Cerulean, Spanish Orange, Silver Pink, Light Orange
Created - 11:01:26.098274: Large marble: Sure Shot, marbles: Sheen Green, Middle Red Purple, Stop Red, Silver Pink, Dark Fuchsia, Thulian Pink, Antique Bronze
Created - 11:01:26.172317: Large marble: Lucky, marbles: Eerie Black, Slate Blue, Maximum Violet, Granny Smith Apple, Brink Pink, Shandy, Honeydew
Created - 11:01:26.246897: Large marble: Zeus, marbles: Pale Plum, Spanish Orange, Purple Plum, Gold, Dark Fuchsia, Spanish Carmine, Honeydew
Created - 11:01:26.323516: Large marble: Sure Shot, marbles: Arylide Yellow, Sage, Orange Soda, Almond, Duke Blue, Chinese Red, Bistre Brown
Created - 11:01:26.400605: Large marble: Zeus, marbles: Chinese Red, Pastel Gray, Lilac Luster, Stop Red, Bistre Brown, Granny Smith Apple, Orange Peel
Created - 11:01:26.477565: Large marble: Apollo, marbles: Lavender Blue, Silver Pink, Duke Blue, Russian Violet, Cobalt Blue, Pale Plum, Blue
